1,2,3,4,5,6,7,8,9,10
13.5,3867.7,652.59,2.4497,0.35001,295.37,92.8,72.801,1.6625,-22.015
14,3911.7,619.39,2.3977,0.32477,295.41,92.411,71.415,1.2582,-0.033906
14.5,3915.2,586.18,2.1966,0.30315,295.39,92.468,65.173,1.1465,10.099
15,3870,706.74,1.9956,0.28152,295.37,92.525,58.935,1.0349,-5.7018
12,3256.2,517.89,0.8803,-0.37531,296.05,91.504,83.505,0.92965,176.94
12.5,3196.2,473.08,0.85481,-0.25215,295.81,92.814,85.813,1.6815,111.72
13,3230.8,446.2,0.82942,-0.12904,295.57,94.124,88.118,2.4339,186.02
13.5,3252.3,419.33,0.99264,-0.082167,295.48,94.407,84.005,4.1972,228.67
14,3223.3,432.46,1.1559,-0.035183,295.39,94.688,79.894,5.9589,306.75
14.5,3213.6,445.6,1.5019,0.21755,295.38,93.651,79.812,4.7585,357.67
15,3169.8,408.14,1.8472,0.4703,295.36,92.614,79.73,3.5581,284.12
