A,B,C,D,E,F,G,H,I,J,K,L,M
2867.579763,3986.643885,101044.8266,99774.52648,2.665390731,-0.458184699,294.9566852,53.40888357,1.542423914,0.340410113,82.67891006,0,29.20258172
2865.549003,3629.779132,101050.4181,99779.8409,2.705670558,-0.427855175,294.9193738,53.87716433,1.594274284,0.429625509,82.61869554,0,265.7880241
2856.980089,3273.259819,101061.7416,99789.93796,2.650133676,-0.373386787,294.7450796,54.7129555,1.91452816,0.835330515,74.98713672,0,564.6876484
2844.781643,2796.361384,101073.0682,99800.03841,2.594549642,-0.318916743,294.5706915,55.54904765,2.234662361,1.240910657,67.36407495,0,929.4464949
2849.032485,2319.767975,101089.9506,99816.24135,2.454141201,-0.261468826,294.2271621,56.92658,2.339500779,1.421860242,75.02722495,0,938.5438239
2857.111716,1832.029229,101106.8252,99832.43606,2.31370137,-0.204019852,293.8835908,58.30439662,2.444029631,1.602576859,82.68386613,0,710.1155109
2853.065884,1344.290482,101109.7663,99833.81842,2.116791453,-0.144671941,293.4647673,60.19361427,1.991651008,1.364183065,78.63113378,0,546.8681551
2848.380449,1038.346568,101112.714,99835.20735,1.919785705,-0.085328046,293.0459344,62.08365097,1.539296319,1.125893786,74.57669723,0,481.6435953
2820.683237,732.4026534,101127.2728,99848.43382,1.550381734,-0.03321134,292.6101402,65.44716274,1.129999998,1.07562746,67.45641193,0,430.8885592
2798.737499,455.3784285,101141.8382,99861.66679,1.181052074,0.018862603,292.1742123,68.81167637,0.7207699,1.02536632,60.34032649,0,286.7753167
2821.676648,178.3542035,101168.25,99886.59915,0.945406759,-0.005992956,291.4975653,73.97856167,0.4306742,0.984436735,60.77977649,0,163.6672292
2832.308181,89.17710176,101194.6575,99911.52711,0.709754093,-0.030799033,290.8210415,79.14384267,0.140725304,0.943376304,61.21931506,0,105.7662915
2831.214762,0,101213.3633,99928.55652,0.460875049,0.033411643,290.3663356,81.42301032,0.114875206,0.666924071,61.81817976,0,18.36431714
2798.069491,0,101232.0661,99945.58407,0.212138319,0.097592464,289.9116743,83.70159955,0.089040268,0.390551224,62.41710589,0,26.53893037
2764.019893,0,101245.1838,99959.26054,0.219425154,0.108062743,289.5372626,84.93960837,0.090476445,0.256991747,63.12653236,0,31.6985408
2691.175175,0,101258.294,99972.92911,0.226681319,0.118514282,289.1628474,86.17668392,0.09222777,0.123489716,63.8343105,0,21.05091676
2641.059958,0,101258.0587,99972.37911,0.178760642,0.095251974,288.7822886,85.73479274,0.660930864,0.093331157,61.57674285,0,42.97195939
2572.965855,0,101257.8247,99971.8301,0.130865352,0.072053302,288.4018328,85.29185533,1.229457636,0.063284296,59.32245195,0,15.95039873
2537.253076,-4.55E-13,101259.8835,99973.06833,0.128640981,0.163338435,288.2068328,82.96674357,1.480780483,0.234182679,62.96302254,0,28.24371965
2507.752107,0,101261.9378,99974.30197,0.126353173,0.254615692,288.0118766,80.64155682,1.731930195,0.405079067,66.59979219,0,39.26945519
2476.774637,0,101255.8496,99967.25197,0.009944162,0.331725409,287.8956413,78.18147152,1.671611404,0.572387096,63.3986716,0,28.76772614
2412.99987,0,101185.6377,99902.16694,0.218552958,-0.360020637,288.5330491,82.0569952,0.528502515,0.59458832,65.42263227,0,15.8947484
2381.697712,0,101168.8436,99885.014,0.261857037,-0.190992395,288.303755,82.80011579,0.545735933,0.655623144,68.22306756,0,28.64377886
2350.980927,0,101152.0451,99867.85741,0.30506416,-0.022090432,288.0744785,83.54309437,0.562927863,0.716978701,71.02128245,0,8.675611691
2365.55631,-4.55E-13,101127.3981,99844.13388,0.173846731,-0.080361797,287.8769785,84.03060908,0.505482863,1.355333851,69.82499422,0,33.70103382
2480.977,0,101102.7569,99820.41509,0.042608906,-0.138615622,287.6795338,84.51690251,0.448109669,1.993750835,68.63107,0,38.67873166
2581.759992,0,101088.7275,99805.22686,-0.125320627,-0.165315816,287.5815926,82.80613192,0.519915957,2.743408067,71.69000823,0,48.66156379
2692.815112,0,101074.7051,99790.04618,-0.293285162,-0.191946639,287.4836616,81.09565347,0.591739,3.493848782,74.74827548,0,32.7371507
2720.754513,0,101073.2933,99788.46383,-0.524220148,-0.09377936,287.4040146,79.91071817,0.693703412,5.653773282,76.59943136,0,37.50058601
2732.598903,5.022350547,101071.8889,99786.88896,-0.754986641,0.004397947,287.3243946,78.72558212,0.795682983,7.814695889,78.44955085,0,32.19691199
2717.204586,10.04470109,101083.6242,99798.78308,-0.682634249,0.120614009,287.293424,77.17927329,0.924933865,11.77121345,78.43519202,0,37.24426663
2667.832438,104.3451691,101095.3637,99810.68148,-0.610265964,0.23677207,287.2627299,75.63284479,1.05399885,15.72623345,78.42122175,0,30.71953551
2553.393205,198.645637,101114.7461,99830.29325,-0.50930582,0.248587464,287.7294063,73.87111244,0.84863385,16.98715039,79.10624527,0,55.3353968
2436.278435,400.1178007,101134.1243,99849.90083,-0.408364027,0.260361271,288.1963058,72.10898961,0.643312731,18.24721363,79.79033772,0,59.2503793
2337.755699,601.5899643,101146.036,99861.99201,-0.340436827,0.19731933,289.0643058,69.6444102,0.516933613,17.97147181,78.79941714,0,70.62507181
2289.638122,830.6994348,101157.939,99874.07522,-0.272582399,0.134286288,289.9323674,67.17910628,0.390565665,17.69503228,77.81180202,0,134.4294159
2308.776819,1059.808905,101153.9684,99871.83111,-0.335644864,0.08726355,290.9112791,63.41041216,0.284292695,16.16341166,82.77073437,0,282.577792
2315.107056,1348.453067,101149.9943,99869.58433,-0.398654318,0.040166136,291.8900805,59.64185919,0.178029298,14.63065211,87.72768328,0,441.5836731
2367.03306,1637.159116,101139.759,99862.54903,-0.366297053,-0.141272308,292.670257,56.12722095,0.088989916,11.04896261,89.11640975,0,621.3483456
2398.777235,1995.398703,101129.5161,99855.5056,-0.333983949,-0.322679782,293.4504269,52.61331714,0,7.468970532,90.50367298,0,648.5618923
2466.010796,2353.328755,101105.5455,99833.81442,-0.38111506,-0.448372314,294.2188387,50.42063184,0,6.942634356,89.25855827,0,501.0663845
2511.657513,2582.136622,101081.5768,99812.12544,-0.428149776,-0.574110169,294.9870882,48.22864741,0,6.416180097,88.01431162,0,160.0670885
2535.34327,2810.853542,101061.0474,99794.38132,-0.301768429,-0.781381836,295.4634117,47.29750623,0,5.677295041,88.33169103,0,50.66446716
2566.378277,2865.234352,101040.5177,99776.63562,-0.175404668,-0.9886307,295.9395497,46.36713125,1.44E-05,4.938404401,88.65004541,0,27.75851101
2588.689963,2919.467985,101019.5177,99756.05327,-0.080677845,-1.154856024,296.0819615,46.81515478,0.025864544,4.189468051,90.722366,0,295.4758239
2605.466118,2821.968707,100998.5145,99735.4682,0.013956936,-1.320991433,296.2243092,47.26306176,0.051688397,3.441055884,92.79392544,0,874.7220037
2610.308024,2724.832997,100971.7498,99709.99761,-0.056992853,-1.32537005,296.2514268,47.50129117,0.030146568,3.635649525,93.49619309,0,1000.807047
2588.228921,2486.765823,100944.9923,99684.5336,-0.127941362,-1.329720053,296.2784741,47.73948701,0.00861511,3.830940882,94.19778097,0,828.1461075
2585.674516,2248.93839,100931.1688,99670.89831,-0.196587191,-1.282591573,296.1788564,47.91728996,0.005742878,5.281423059,93.67646626,0,761.4165139
2561.479844,1992.296649,100917.3435,99657.26099,-0.265261845,-1.235425386,296.0791816,48.0955108,0.002900166,6.731521871,93.15606749,0,416.9846591
2591.876867,1735.569714,100900.3141,99639.97863,-0.385794535,-1.120422718,295.8766228,49.02553433,0.053164283,7.491947753,94.28342337,0,22.8167513
2617.374809,1477.641977,100883.2949,99622.70629,-0.50624793,-1.005392233,295.6740303,49.95592915,0.103377339,8.251603317,95.40919872,0,54.63803153
2644.831936,1219.71424,100884.6478,99623.44453,-0.484050548,-0.840316939,295.4109421,51.55427326,0.061729954,7.625456673,93.6916046,0,131.7731085
2640.138295,994.9682173,100885.989,99624.1708,-0.461946969,-0.675228355,295.1478297,53.15318871,0.020107302,6.999617994,91.9744836,0,133.1138071
2652.490354,770.222195,100866.1949,99603.37374,-0.608594807,-0.486232385,294.8412709,55.77992989,0.022979537,6.927808785,91.10850125,0,169.1929373
2690.04136,579.0330717,100846.4239,99582.59967,-0.755129641,-0.297261256,294.5346325,58.4074974,0.025927567,6.856571636,90.23786507,0,130.6166886
2713.061398,387.8439484,100868.2768,99603.19085,-0.698369892,-0.152980691,294.0849855,62.5216474,0.165231214,7.814468959,80.99498566,0,87.5834892
2734.88306,245.0720147,100890.1232,99623.77482,-0.641709128,-0.008715512,293.6352797,66.63502543,0.304770226,8.772583291,71.75807014,0,75.74256948
2760.592695,102.3000809,100900.0643,99631.38364,-0.763121213,0.107871591,293.0799268,69.35962837,0.867730403,10.12109606,73.25020249,0,76.92674429
2781.997554,51.15004047,100910.0054,99638.9931,-0.884460099,0.224418114,292.5246953,72.08326436,1.430474363,11.47312255,74.74248803,0,64.52867898
2800.418173,0,100919.7113,99647.7431,-0.874113587,0.267960387,292.18796,73.0673526,1.604245104,19.1463186,76.51034979,0,35.21351506
