Feature,1,2,3,4,5,6,7,8,9,10,11,12
S27,-10.02082424,355.3303675,41.92034632,42.40235708,-66.11115597,-75.52797599,27.65490202,3.952835399,-2.826768886,28.14110756,30.86988872,10.7147081
S28,-9.046506997,355.0338469,41.17905806,41.73012225,-73.3022691,-73.37933094,29.59693567,7.325212917,-1.299542212,34.09837756,34.21917678,10.74237266
S29,-8.206532718,348.6736466,39.90102896,40.56825517,-77.95781817,-66.97584209,31.32007284,12.29455427,0.682049321,41.79379817,38.39311434,10.79419273
S30,-6.744336144,338.4369769,41.48499158,42.26892954,-83.16922095,-64.21342508,28.49519128,15.17854771,-0.983039232,41.43477091,37.88198808,10.66836938
S31,-4.499076744,313.2522245,42.70654683,43.58718674,-88.78777256,-58.27192335,26.64964723,19.13079467,-2.590171573,41.34029893,39.79703179,10.21657948
S32,-2.992365779,278.984581,43.56507822,44.50493663,-87.16733179,-48.89986607,24.12512859,22.11343888,-4.243606002,40.9975416,41.40160494,9.64245339
S33,-1.856733253,227.4924849,43.55922043,44.53216492,-82.36550676,-38.14605653,22.13544536,23.49306249,-5.50234655,39.62205013,43.48934912,8.638385958
S34,-0.762488096,164.0120871,40.0948189,41.05166916,-79.92144917,-29.25662184,19.44339738,23.1135456,-6.543799343,36.29268203,44.77034426,7.337952127
S35,0.882665651,103.1069871,35.7664295,36.73812257,-72.43798863,-23.32599112,15.52715776,19.96633459,-6.416912736,33.0852808,44.09479036,6.234725033
S36,2.853318806,35.99856051,29.01122271,30.06272862,-65.69526164,-18.66245844,9.557034568,14.57838108,-5.00323397,24.9586228,41.61905407,5.327699471
S37,3.489313044,-22.90002887,22.41247715,23.51736152,-59.17167129,-14.68796633,3.234291781,9.439603432,-2.155801578,16.87656277,39.00405774,4.81194589
S38,3.085422462,-82.5778727,16.0667242,17.07998079,-50.3531716,-10.91675599,-2.951759358,4.871791904,1.977430756,9.994123404,36.06850806,4.493572131
S39,3.823785229,-102.6070418,12.13776178,13.06786366,-43.4547616,-6.732430395,-7.95431424,1.951667221,5.627337271,5.000581689,33.45902395,5.029430367
S40,4.15670486,-118.5711839,8.081217053,9.011539118,-47.68225644,-5.11090527,-11.42181076,0.445462571,7.952529679,2.24100315,31.53897511,4.862290241
S41,6.12632027,-115.1094323,5.327124804,6.26404867,-49.92793466,-2.526242345,-14.27091107,-0.531379064,8.894591325,0.186471673,29.75837158,4.873771757
S42,8.33360931,-115.1589753,3.82838469,4.709417588,-47.98958277,-2.315158606,-15.97641455,-0.725380698,8.917463705,2.01010777,24.20806277,4.62815722
S43,12.3708855,-114.7077109,2.639672125,3.469330895,-44.166763,-1.932396093,-17.56050001,-0.955571296,8.724866082,3.804471609,19.43261655,4.282987729
S44,17.35396022,-113.9045812,2.652865532,3.438919922,-42.13130848,-1.708183089,-19.13183685,-1.174439918,5.623392608,8.338833147,24.98841212,3.983992368
S45,23.18777929,-112.8000118,2.597910653,3.356376332,-39.4237637,-1.460936404,-20.73965313,-1.544517294,3.25469094,12.85132459,30.90416172,3.659331751
S46,22.48883497,-114.5505259,2.347052935,3.122873434,-35.83870788,-0.154069258,-21.77223526,-2.22963807,4.164272511,17.05278162,19.18682501,4.121023569
S47,22.91585437,-115.4453802,2.009123706,2.820580157,-32.03603313,1.332242991,-22.7646705,-3.071764079,5.434048769,20.91503659,9.896893803,4.544892805
S48,26.23849559,-114.7809263,3.498174606,4.372378209,-29.31382928,1.478193897,-25.27525787,-4.000784408,2.596357368,28.53585409,20.27489067,3.816804405
S49,10.59061226,-127.1508881,-1.266454363,-1.074332636,3.146834679,5.526615984,-23.95424479,3.372114788,-6.414434683,-2.618024138,1.294919627,8.117283116
S50,13.40892239,-127.8414406,-0.516629295,-0.203259987,6.03355296,4.638886113,-25.00557908,2.618820455,-8.268334807,0.35436402,1.771107098,7.722014368
S51,14.91024726,-128.6266857,0.212354462,0.648077637,9.135094606,4.349379015,-26.19548752,1.801861109,-10.14359097,3.108428061,2.065242873,7.386738919
S52,14.64748743,-128.7567936,0.807709479,1.266415522,10.00995791,4.297113308,-25.97783197,1.939284049,-10.18573408,-1.03452845,3.126397938,7.491590758
S53,10.99388603,-129.8687496,1.250608606,1.733171164,11.14797687,4.023263822,-25.91535281,2.146296824,-10.2352974,-5.496080584,3.739458874,7.722720709
S54,6.52682943,-131.3854555,1.242093159,1.797767808,12.34395586,3.143560116,-26.30273994,2.389855235,-9.42692052,-8.604423147,3.6920282,8.012495532
S55,2.816791754,-132.1994624,1.0907395,1.74764802,13.60892597,1.692700935,-26.99142656,2.477340831,-8.80163392,-11.38695472,3.481309753,8.244860268
S56,-4.125602889,-131.410225,1.167572881,1.966576895,13.54241681,-1.68263499,-25.89354785,3.922505499,-7.737157192,-18.31835777,1.755906102,8.79229635
S57,-9.30733873,-128.7050415,1.399773312,2.342708212,13.21025665,-4.354829603,-24.84168912,4.922675452,-5.860967018,-21.7230974,0.799982819,9.31251443
S58,-13.91492104,-126.524486,1.267535146,1.967252297,18.34436004,-1.141059643,-22.99100552,5.465885061,-2.809583351,-21.61642719,1.365025638,10.4988973
S59,-18.49038925,-111.9427528,1.348233966,1.82702279,22.4257037,3.378793467,-21.74516377,5.515032035,0.461710807,-21.22592232,1.932837888,11.47888795
S60,-17.89376787,-100.0099596,1.186772437,1.686472152,23.29526651,2.196165386,-21.55754786,6.23732296,1.493341769,-23.82547821,2.470239153,11.4525392
S61,-16.51175228,-77.61158106,1.175876678,1.694467215,24.77550168,1.774574116,-21.05225917,6.852214739,2.625149395,-26.13875466,3.298715746,11.67913716
S62,-18.69677783,-55.02638773,0.166877619,0.722253408,25.16551807,-0.934130349,-19.44534395,8.741408865,4.700332982,-27.13436222,3.153313263,12.15247595
S63,-21.3828636,-20.64311155,-1.321622601,-0.701194908,25.51465798,-4.515858309,-17.58662595,10.50892737,6.722842025,-29.0696001,2.801006859,12.63312699
S64,-21.61136902,13.7198349,-4.214728232,-3.409707088,22.74340776,-12.77419876,-16.76589577,11.863217,9.745724082,-26.54426134,2.229116349,12.25034118
S65,-16.88339238,59.28638061,-7.971439046,-6.971134421,18.85953384,-22.09058301,-15.27612277,12.70860684,13.20373369,-25.67859651,3.700284356,11.90703012
S66,0.011351397,105.3842134,-12.32235698,-11.39177038,4.20297301,-34.0834917,-11.5630785,13.71127776,17.24505527,-24.87478537,8.874224805,12.10742523
S67,6.646635075,146.8198631,-16.4091888,-15.58782989,-18.68389627,-43.59432989,-9.227489741,13.31631262,20.08474914,-26.81845888,9.978692955,11.35853131
S68,9.172068859,185.7230726,-19.72995103,-18.8695227,-32.78393361,-45.7990784,-7.460311021,12.89741861,21.68265566,-27.85576804,12.39193285,11.94766003
